para_indx,stability,freq,A1,A2,B1,B2
258,2,566,0,0,1196,1196
258,2,434,1196,1196,0,0
261,2,576,1,1,2708,2708
261,2,424,2554,72,49,44
263,2,997,55,63,725,252
263,2,3,771,708,3,3
265,2,1,1,1,8217,8052
265,2,999,608,2142,97,114
266,2,989,1,1,2405,2405
266,2,11,2405,2405,1,1
268,2,650,1,1,2283,2283
268,2,350,2283,2283,1,1
269,2,125,0,0,0,0
269,2,875,0,0,25,31
270,2,939,0,0,712,712
270,2,61,712,712,0,0
274,2,2,3,3,5564,5561
274,2,998,906,271,121,128
275,2,19,26,5,413,440
275,2,981,497,492,2,1
277,2,228,1,1,2844,2844
277,2,772,2844,2844,1,1
279,2,949,0,0,452,452
279,2,51,452,452,0,0
283,2,990,62,2540,1372,61
283,2,10,3023,4325,16,18
286,2,236,1,0,144,145
286,2,764,145,139,0,0
290,2,4,2,2,2507,2507
290,2,996,184,184,213,187
294,2,998,0,0,2132,2132
294,2,2,2102,2094,0,0
296,2,992,0,0,251,250
296,2,8,251,251,0,0
299,2,965,75,77,2393,769
299,2,35,7339,7345,2,2
304,2,947,1,1,2085,2085
304,2,53,2083,2083,1,1
306,2,910,0,0,257,257
306,2,90,253,238,0,0
307,2,564,0,0,2508,2508
307,2,436,2508,2508,0,0
312,2,669,136,83,85,436
312,2,331,5721,5724,2,2
313,2,140,0,0,928,928
313,2,860,928,928,0,0
314,2,664,0,0,193,193
314,2,336,193,193,0,0
318,2,998,0,0,585,585
318,2,2,584,584,0,0
320,2,360,0,0,410,410
320,2,640,409,404,0,0
321,2,734,1,0,569,561
321,2,266,575,565,0,0
325,2,421,236,119,119,459
325,2,579,236,578,119,119
326,2,535,0,0,2172,2172
326,2,465,2172,2172,0,0
329,2,2,4,4,3897,3897
329,2,998,410,410,410,410
330,2,737,1,1,985,985
330,2,263,985,985,1,1
335,2,156,0,0,304,305
335,2,844,304,304,0,0
336,2,490,1,0,67,25
336,2,510,1,1,1,1
337,2,47,0,0,1137,1137
337,2,953,1137,1137,0,0
338,2,994,1,1,3039,3039
338,2,6,3039,3039,1,1
339,2,64,1,1,1167,1167
339,2,936,1167,1167,1,1
340,2,615,0,0,1230,1230
340,2,385,1230,1230,0,0
341,2,997,0,0,1869,1869
341,2,3,1869,1869,0,0
343,2,531,1,1,1104,1104
343,2,469,1104,1104,1,1
344,2,71,1,1,3879,3874
344,2,929,3881,3879,1,1
346,2,2,2,2,2603,2523
346,2,998,163,196,158,163
347,2,179,0,0,330,333
347,2,821,329,333,0,0
348,2,33,1,1,56,61
348,2,967,63,60,1,1
349,2,137,0,1,135,144
349,2,863,158,160,0,1
354,2,605,82,81,118,894
354,2,395,82,666,118,81
357,2,426,12,13,1184,1183
357,2,574,1184,1184,0,0
364,2,214,1,1,107,127
364,2,786,126,127,0,1
365,2,125,2,2,1978,1978
365,2,875,57,477,480,57
367,2,573,0,0,980,980
367,2,427,980,980,0,0
368,2,944,0,0,1710,1710
368,2,56,1710,1710,0,0
371,2,605,1,1,3699,3699
371,2,395,1350,87,74,69
372,2,930,45,574,138,43
372,2,70,1292,1292,1,1
376,2,841,0,0,665,665
376,2,159,665,665,0,0
379,2,13,6,6,4469,4442
379,2,987,4495,4492,6,6
381,2,14,0,0,2316,2316
381,2,986,2316,2316,0,0
388,2,188,31,32,1858,2064
388,2,812,2424,2424,1,1
389,2,510,0,0,2336,2336
389,2,490,2336,2336,0,0
395,2,998,94,114,1186,814
395,2,2,3467,3467,2,2
400,2,270,0,0,335,351
400,2,730,335,350,0,0
402,2,999,189,151,158,144
402,2,1,3775,3758,2,2
406,2,192,115,794,1212,90
406,2,808,6054,5823,10,8
416,2,392,0,0,1235,1235
416,2,608,1235,1235,0,0
417,2,109,1,1,1313,1313
417,2,891,1313,1313,1,1
422,2,999,273,105,105,428
422,2,1,2096,2096,1,1
423,2,707,0,0,487,487
423,2,293,487,487,0,0
428,2,871,0,0,808,808
428,2,129,807,806,0,0
430,2,656,0,0,772,772
430,2,344,772,772,0,0
432,2,1,6,6,3536,3536
432,2,999,397,397,397,397
433,2,2,30,32,4134,4145
433,2,998,120,127,1192,1254
437,2,999,203,172,165,186
437,2,1,1224,1224,4,4
440,2,264,0,0,276,276
440,2,736,276,276,0,0
445,2,1,7,7,1593,1593
445,2,999,137,247,192,139
446,2,627,0,0,1435,1434
446,2,373,1435,1435,0,0
447,2,528,0,0,324,321
447,2,472,306,324,0,0
448,2,788,0,0,1315,1315
448,2,212,1315,1315,0,0
449,2,838,2,2,538,535
449,2,162,536,532,3,3
451,2,350,0,0,92,92
451,2,650,2,2,2,2
452,2,2,2,2,1329,1329
452,2,998,1329,1329,2,2
460,2,556,1175,74,74,992
460,2,444,2431,2431,2,2
461,2,94,0,0,623,623
461,2,906,623,623,0,0
466,2,307,0,0,2289,2289
466,2,693,2289,2289,0,0
468,2,261,1,1,743,744
468,2,739,745,739,1,1
471,2,125,0,0,646,646
471,2,875,646,646,0,0
473,2,594,1,1,2074,2074
473,2,406,667,47,47,675
475,2,341,0,0,177,178
475,2,659,178,178,0,0
479,2,33,3,3,2873,2822
479,2,967,2873,2873,3,3
482,2,621,0,0,655,655
482,2,379,655,655,0,0
485,2,998,1,1,1541,1540
485,2,2,1538,1506,1,1
486,2,745,0,0,1182,1182
486,2,255,1182,1182,0,0
488,2,983,0,0,2347,2344
488,2,17,2346,2344,1,0
490,2,2,1,1,5584,5584
490,2,998,5408,2752,35,69
493,2,497,1,1,1411,1411
493,2,503,846,56,56,56
497,2,701,0,0,835,835
497,2,299,835,835,0,0
498,2,459,0,0,311,311
498,2,541,311,311,0,0
503,2,554,0,0,591,591
503,2,446,591,591,0,0
505,2,669,0,0,352,352
505,2,331,351,351,0,0
510,2,4,2,2,2501,2505
510,2,996,320,138,136,396
511,2,88,0,0,711,719
511,2,912,719,713,0,0
513,2,257,0,0,744,744
513,2,743,744,744,0,0
517,2,28,1,1,1,1
517,2,972,72,72,0,1
520,2,998,1,1,2177,2180
520,2,2,2153,2178,1,1
524,2,982,1,1,3080,3080
524,2,18,1074,2605,37,42
526,2,89,0,0,1357,1357
526,2,911,1358,1358,0,0
527,2,511,0,1,119,98
527,2,489,120,119,0,1
529,2,1,3,3,1638,1638
529,2,999,226,233,226,227
530,2,716,1,1,1951,1951
530,2,284,1951,1951,1,1
533,2,981,69,69,1477,3233
533,2,19,4717,4718,1,1
535,2,615,1,1,810,809
535,2,385,809,809,1,1
543,2,166,1,1,1608,1608
543,2,834,1608,1608,1,1
