PS.No,Number of steady states,Prod_of_AHR,Prod_of_NFIC,Prod_of_FOS,Prod_of_KLF4,Prod_of_FOXF1,Prod_of_JUN,Prod_of_SMAD3,Prod_of_MITF,Prod_of_SMAD4,Prod_of_MAFB,Prod_of_NR3C1,Prod_of_NR2F1,Prod_of_STAT5A,Prod_of_TBX3,Prod_of_TFE3,Prod_of_ETV5,Prod_of_TFAP2A,Deg_of_AHR,Deg_of_NFIC,Deg_of_FOS,Deg_of_KLF4,Deg_of_FOXF1,Deg_of_JUN,Deg_of_SMAD3,Deg_of_MITF,Deg_of_SMAD4,Deg_of_MAFB,Deg_of_NR3C1,Deg_of_NR2F1,Deg_of_STAT5A,Deg_of_TBX3,Deg_of_TFE3,Deg_of_ETV5,Deg_of_TFAP2A,Trd_of_AHRToAHR,Num_of_AHRToAHR,Inh_of_AHRToAHR,Trd_of_NFICToAHR,Num_of_NFICToAHR,Act_of_NFICToAHR,Trd_of_FOSToAHR,Num_of_FOSToAHR,Inh_of_FOSToAHR,Trd_of_NR3C1ToNFIC,Num_of_NR3C1ToNFIC,Act_of_NR3C1ToNFIC,Trd_of_MITFToNFIC,Num_of_MITFToNFIC,Inh_of_MITFToNFIC,Trd_of_AHRToFOS,Num_of_AHRToFOS,Inh_of_AHRToFOS,Trd_of_NR3C1ToFOS,Num_of_NR3C1ToFOS,Inh_of_NR3C1ToFOS,Trd_of_SMAD3ToFOS,Num_of_SMAD3ToFOS,Act_of_SMAD3ToFOS,Trd_of_NFICToFOS,Num_of_NFICToFOS,Inh_of_NFICToFOS,Trd_of_MITFToFOS,Num_of_MITFToFOS,Act_of_MITFToFOS,Trd_of_SMAD4ToFOS,Num_of_SMAD4ToFOS,Act_of_SMAD4ToFOS,Trd_of_FOSToFOS,Num_of_FOSToFOS,Inh_of_FOSToFOS,Trd_of_AHRToKLF4,Num_of_AHRToKLF4,Act_of_AHRToKLF4,Trd_of_JUNToKLF4,Num_of_JUNToKLF4,Act_of_JUNToKLF4,Trd_of_NR3C1ToKLF4,Num_of_NR3C1ToKLF4,Act_of_NR3C1ToKLF4,Trd_of_SMAD3ToKLF4,Num_of_SMAD3ToKLF4,Act_of_SMAD3ToKLF4,Trd_of_TBX3ToKLF4,Num_of_TBX3ToKLF4,Act_of_TBX3ToKLF4,Trd_of_MITFToKLF4,Num_of_MITFToKLF4,Inh_of_MITFToKLF4,Trd_of_KLF4ToFOXF1,Num_of_KLF4ToFOXF1,Act_of_KLF4ToFOXF1,Trd_of_JUNToJUN,Num_of_JUNToJUN,Act_of_JUNToJUN,Trd_of_SMAD3ToJUN,Num_of_SMAD3ToJUN,Act_of_SMAD3ToJUN,Trd_of_KLF4ToJUN,Num_of_KLF4ToJUN,Act_of_KLF4ToJUN,Trd_of_MITFToJUN,Num_of_MITFToJUN,Inh_of_MITFToJUN,Trd_of_SMAD4ToJUN,Num_of_SMAD4ToJUN,Act_of_SMAD4ToJUN,Trd_of_AHRToSMAD3,Num_of_AHRToSMAD3,Act_of_AHRToSMAD3,Trd_of_JUNToSMAD3,Num_of_JUNToSMAD3,Act_of_JUNToSMAD3,Trd_of_NR3C1ToSMAD3,Num_of_NR3C1ToSMAD3,Act_of_NR3C1ToSMAD3,Trd_of_NFICToSMAD3,Num_of_NFICToSMAD3,Act_of_NFICToSMAD3,Trd_of_FOSToSMAD3,Num_of_FOSToSMAD3,Inh_of_FOSToSMAD3,Trd_of_AHRToMITF,Num_of_AHRToMITF,Inh_of_AHRToMITF,Trd_of_JUNToMITF,Num_of_JUNToMITF,Inh_of_JUNToMITF,Trd_of_NR3C1ToMITF,Num_of_NR3C1ToMITF,Act_of_NR3C1ToMITF,Trd_of_SMAD3ToMITF,Num_of_SMAD3ToMITF,Inh_of_SMAD3ToMITF,Trd_of_KLF4ToMITF,Num_of_KLF4ToMITF,Inh_of_KLF4ToMITF,Trd_of_MITFToMITF,Num_of_MITFToMITF,Act_of_MITFToMITF,Trd_of_SMAD4ToMITF,Num_of_SMAD4ToMITF,Act_of_SMAD4ToMITF,Trd_of_NR3C1ToSMAD4,Num_of_NR3C1ToSMAD4,Inh_of_NR3C1ToSMAD4,Trd_of_MAFBToMAFB,Num_of_MAFBToMAFB,Act_of_MAFBToMAFB,Trd_of_NR3C1ToMAFB,Num_of_NR3C1ToMAFB,Act_of_NR3C1ToMAFB,Trd_of_AHRToNR3C1,Num_of_AHRToNR3C1,Act_of_AHRToNR3C1,Trd_of_JUNToNR3C1,Num_of_JUNToNR3C1,Act_of_JUNToNR3C1,Trd_of_SMAD3ToNR3C1,Num_of_SMAD3ToNR3C1,Act_of_SMAD3ToNR3C1,Trd_of_NFICToNR3C1,Num_of_NFICToNR3C1,Act_of_NFICToNR3C1,Trd_of_FOSToNR3C1,Num_of_FOSToNR3C1,Inh_of_FOSToNR3C1,Trd_of_NR3C1ToNR2F1,Num_of_NR3C1ToNR2F1,Act_of_NR3C1ToNR2F1,Trd_of_KLF4ToNR2F1,Num_of_KLF4ToNR2F1,Act_of_KLF4ToNR2F1,Trd_of_NFICToNR2F1,Num_of_NFICToNR2F1,Act_of_NFICToNR2F1,Trd_of_FOSToNR2F1,Num_of_FOSToNR2F1,Inh_of_FOSToNR2F1,Trd_of_STAT5AToSTAT5A,Num_of_STAT5AToSTAT5A,Act_of_STAT5AToSTAT5A,Trd_of_MITFToSTAT5A,Num_of_MITFToSTAT5A,Act_of_MITFToSTAT5A,Trd_of_SMAD3ToTBX3,Num_of_SMAD3ToTBX3,Act_of_SMAD3ToTBX3,Trd_of_TBX3ToTBX3,Num_of_TBX3ToTBX3,Act_of_TBX3ToTBX3,Trd_of_KLF4ToTBX3,Num_of_KLF4ToTBX3,Act_of_KLF4ToTBX3,Trd_of_NFICToTBX3,Num_of_NFICToTBX3,Act_of_NFICToTBX3,Trd_of_JUNToTFE3,Num_of_JUNToTFE3,Act_of_JUNToTFE3,Trd_of_TFE3ToTFE3,Num_of_TFE3ToTFE3,Inh_of_TFE3ToTFE3,Trd_of_NFICToTFE3,Num_of_NFICToTFE3,Act_of_NFICToTFE3,Trd_of_MITFToTFE3,Num_of_MITFToTFE3,Inh_of_MITFToTFE3,Trd_of_FOSToTFE3,Num_of_FOSToTFE3,Inh_of_FOSToTFE3,Trd_of_NR3C1ToETV5,Num_of_NR3C1ToETV5,Inh_of_NR3C1ToETV5,Trd_of_ETV5ToETV5,Num_of_ETV5ToETV5,Act_of_ETV5ToETV5,Trd_of_MITFToETV5,Num_of_MITFToETV5,Act_of_MITFToETV5,Trd_of_NR2F1ToTFAP2A,Num_of_NR2F1ToTFAP2A,Act_of_NR2F1ToTFAP2A,Trd_of_MITFToTFAP2A,Num_of_MITFToTFAP2A,Act_of_MITFToTFAP2A
1,4,30.911245,47.305734,2150.307221,786.899859,58.759278,447.59347,809.620218,4453.815797,54.969855,48.356516,569.551296,88.973998,48.518091,32.594405,848.484461,45.916912,31.388969,0.569513,0.263421,0.40457,0.191658,0.358769,0.733293,0.735552,0.713843,0.428891,0.300275,0.931694,0.843577,0.73856,0.401828,0.459057,0.569512,0.357882,3.870755,6,0.015272,7.260187,4,10.677866,3.282876,1,0.012893,2.899679,3,16.791081,1.845243,1,0.05213,2.457006,6,0.028788,3.390616,4,0.011839,5.17691,5,1.307488,1.544054,4,0.019132,0.395633,1,83.545357,52.773527,1,2.549793,1.550439,4,0.011595,4.712927,6,7.932587,0.263385,1,41.271152,5.204831,2,57.58718,6.066724,6,16.568318,1.995619,2,40.031286,3.217281,2,0.014588,0.312482,3,81.050862,1.317074,4,53.78043,6.444675,1,2.850014,0.724143,6,82.932018,0.2095,2,0.013922,57.668736,3,95.263607,4.644236,5,16.351259,3.210201,4,62.32322,1.060542,2,47.515524,18.674252,4,10.927955,3.175987,4,0.252756,3.824863,2,0.033896,3.416676,4,0.02354,3.561296,2,89.077621,4.354527,2,0.069526,1.191445,5,0.019837,1.881673,6,76.398161,32.893496,3,94.743686,5.048998,5,0.145781,10.863651,4,26.724561,6.849329,2,43.441764,1.938539,4,31.731145,3.874321,6,45.707069,6.966952,5,97.837733,14.641039,6,75.450136,3.499611,1,0.019841,0.753631,6,51.629653,0.571535,2,94.115227,5.364246,1,71.257383,0.53295,6,0.098205,7.22625,6,69.257173,2.731615,1,66.272594,6.304423,1,60.589636,1.73624,5,97.538156,1.249802,6,68.780225,9.445806,2,4.38479,6.262251,2,72.000399,2.680772,3,0.010961,8.994865,1,81.421738,1.29291,4,0.018961,2.224604,6,0.015552,1.637552,6,0.023838,3.947274,2,8.160334,0.918236,5,73.281334,1.326506,2,9.171382,1.572292,4,5.322669
2,4,49.808285,10.513306,9482.609477,78.300347,18.078766,872.709032,306.925664,6142.093879,56.673849,73.373951,297.232512,98.385109,35.049676,14.093252,382.705596,52.579962,72.733515,0.480689,0.509319,0.159166,0.865369,0.69922,0.508344,0.759304,0.32593,0.20624,0.534604,0.39485,0.402878,0.361025,0.602803,0.345388,0.69541,0.888382,3.759184,5,0.010341,16.059647,4,4.692633,3.484673,4,0.033371,5.927295,3,71.880645,0.377254,3,0.013283,4.365452,5,0.013163,0.21886,5,0.015434,0.762058,3,48.971616,7.614992,1,0.011254,1.910398,2,78.86621,7.41169,3,8.075012,3.331567,4,0.010677,4.550698,6,90.667788,5.372016,2,19.809977,5.485241,4,5.890437,0.894365,3,48.129298,0.206413,5,71.405773,1.313464,3,0.020429,1.516908,1,4.020256,4.828029,2,59.685661,4.632724,5,10.331075,2.566141,6,25.83984,2.509024,5,0.067708,36.825467,5,2.725065,4.637024,4,60.605298,2.121136,4,81.933375,0.684634,1,48.578284,17.423396,1,28.750189,3.57688,6,0.113859,0.788769,4,0.021736,1.830269,1,0.021811,4.013982,4,77.083931,1.187315,2,0.038691,0.042033,4,0.015799,2.670661,5,95.532425,30.298919,6,49.787628,1.221684,5,0.020871,7.715381,4,69.287538,0.818072,2,62.112467,1.121784,2,16.131666,0.118517,1,1.399816,1.255788,3,79.254386,16.062447,4,37.95842,2.340408,4,0.176725,6.574097,4,30.434511,1.994313,3,18.689467,12.030735,4,41.676248,1.619362,2,0.107317,2.938578,5,13.900865,0.429888,5,32.520311,5.182806,6,54.931788,0.205115,6,23.936496,2.519795,2,50.231412,0.356016,5,71.405762,5.544855,1,88.158365,1.522428,5,0.022741,0.208586,1,3.88177,1.080649,4,0.167828,2.317123,6,0.010169,3.468688,4,0.019523,5.601176,1,30.586854,0.424659,4,31.975647,0.329441,2,99.818543,1.120191,4,16.160339
3,4,50.351891,26.655594,2907.866662,838.166221,16.998139,344.893578,151.792551,7107.166721,98.868674,87.473988,992.770772,14.782741,14.253049,63.444302,898.775371,5.040406,83.288483,0.629051,0.345765,0.217315,0.784833,0.737956,0.261202,0.508196,0.660377,0.242283,0.861218,0.886252,0.31465,0.110733,0.763323,0.186911,0.525426,0.185336,4.087943,2,0.028621,0.491028,6,98.229327,0.210465,3,0.018112,5.214259,2,29.745187,1.847625,6,0.026769,3.450059,5,0.013326,6.669484,5,0.024986,4.744186,1,50.745291,4.92604,6,0.013149,2.384241,3,60.439596,25.803797,1,92.917679,1.696488,2,0.108657,3.875361,6,23.512458,2.248025,5,92.212379,3.894392,4,30.21698,7.147265,3,53.516363,2.337689,3,1.822356,1.053225,2,0.018555,2.484647,2,11.390787,6.564879,5,10.737092,5.102955,2,67.629191,0.427458,1,62.404308,2.177306,4,0.019153,6.316909,3,37.950663,0.125719,5,65.045086,4.671087,6,84.538985,3.650673,2,29.244767,17.409709,1,38.587073,3.507042,2,0.018389,2.003095,6,0.015368,1.576349,1,0.071438,3.886468,2,57.409127,3.742258,4,0.142212,1.06363,2,0.011478,2.864777,4,83.49487,46.579731,3,17.866714,3.216611,6,0.011123,6.854742,1,15.919891,6.536031,6,83.386996,1.563292,4,95.693465,6.103287,5,51.474212,2.31978,2,90.979902,3.16936,3,55.318631,2.328864,1,0.018577,0.341461,1,58.746324,0.895929,4,3.898683,2.232496,3,77.60756,3.145297,6,0.011182,4.161317,5,17.43505,1.519306,3,69.278699,5.608965,5,72.134397,2.120794,3,19.089851,2.154921,5,64.73966,9.985687,4,85.410736,6.64312,1,27.935946,0.697389,4,0.013495,1.428936,6,10.313385,3.008456,1,0.019164,2.012537,1,0.022481,2.960833,4,0.109088,5.582141,6,68.759054,1.910727,6,5.293332,0.039891,5,48.027129,1.899148,6,64.714476
