,Number of steady states,Prod_of_AHR,Prod_of_NFIC,Prod_of_FOS,Prod_of_KLF4,Prod_of_FOXF1,Prod_of_JUN,Prod_of_SMAD3,Prod_of_MITF,Prod_of_SMAD4,Prod_of_MAFB,Prod_of_NR3C1,Prod_of_NR2F1,Prod_of_STAT5A,Prod_of_TBX3,Prod_of_TFE3,Prod_of_ETV5,Prod_of_TFAP2A,Deg_of_AHR,Deg_of_NFIC,Deg_of_FOS,Deg_of_KLF4,Deg_of_FOXF1,Deg_of_JUN,Deg_of_SMAD3,Deg_of_MITF,Deg_of_SMAD4,Deg_of_MAFB,Deg_of_NR3C1,Deg_of_NR2F1,Deg_of_STAT5A,Deg_of_TBX3,Deg_of_TFE3,Deg_of_ETV5,Deg_of_TFAP2A,Trd_of_AHRToAHR,Num_of_AHRToAHR,Inh_of_AHRToAHR,Trd_of_NFICToAHR,Num_of_NFICToAHR,Act_of_NFICToAHR,Trd_of_FOSToAHR,Num_of_FOSToAHR,Inh_of_FOSToAHR,Trd_of_NR3C1ToNFIC,Num_of_NR3C1ToNFIC,Act_of_NR3C1ToNFIC,Trd_of_MITFToNFIC,Num_of_MITFToNFIC,Inh_of_MITFToNFIC,Trd_of_AHRToFOS,Num_of_AHRToFOS,Inh_of_AHRToFOS,Trd_of_NR3C1ToFOS,Num_of_NR3C1ToFOS,Inh_of_NR3C1ToFOS,Trd_of_SMAD3ToFOS,Num_of_SMAD3ToFOS,Act_of_SMAD3ToFOS,Trd_of_NFICToFOS,Num_of_NFICToFOS,Inh_of_NFICToFOS,Trd_of_MITFToFOS,Num_of_MITFToFOS,Act_of_MITFToFOS,Trd_of_SMAD4ToFOS,Num_of_SMAD4ToFOS,Act_of_SMAD4ToFOS,Trd_of_FOSToFOS,Num_of_FOSToFOS,Inh_of_FOSToFOS,Trd_of_AHRToKLF4,Num_of_AHRToKLF4,Act_of_AHRToKLF4,Trd_of_JUNToKLF4,Num_of_JUNToKLF4,Act_of_JUNToKLF4,Trd_of_NR3C1ToKLF4,Num_of_NR3C1ToKLF4,Act_of_NR3C1ToKLF4,Trd_of_SMAD3ToKLF4,Num_of_SMAD3ToKLF4,Act_of_SMAD3ToKLF4,Trd_of_TBX3ToKLF4,Num_of_TBX3ToKLF4,Act_of_TBX3ToKLF4,Trd_of_MITFToKLF4,Num_of_MITFToKLF4,Inh_of_MITFToKLF4,Trd_of_KLF4ToFOXF1,Num_of_KLF4ToFOXF1,Act_of_KLF4ToFOXF1,Trd_of_JUNToJUN,Num_of_JUNToJUN,Act_of_JUNToJUN,Trd_of_SMAD3ToJUN,Num_of_SMAD3ToJUN,Act_of_SMAD3ToJUN,Trd_of_KLF4ToJUN,Num_of_KLF4ToJUN,Act_of_KLF4ToJUN,Trd_of_MITFToJUN,Num_of_MITFToJUN,Inh_of_MITFToJUN,Trd_of_SMAD4ToJUN,Num_of_SMAD4ToJUN,Act_of_SMAD4ToJUN,Trd_of_AHRToSMAD3,Num_of_AHRToSMAD3,Act_of_AHRToSMAD3,Trd_of_JUNToSMAD3,Num_of_JUNToSMAD3,Act_of_JUNToSMAD3,Trd_of_NR3C1ToSMAD3,Num_of_NR3C1ToSMAD3,Act_of_NR3C1ToSMAD3,Trd_of_NFICToSMAD3,Num_of_NFICToSMAD3,Act_of_NFICToSMAD3,Trd_of_FOSToSMAD3,Num_of_FOSToSMAD3,Inh_of_FOSToSMAD3,Trd_of_AHRToMITF,Num_of_AHRToMITF,Inh_of_AHRToMITF,Trd_of_JUNToMITF,Num_of_JUNToMITF,Inh_of_JUNToMITF,Trd_of_NR3C1ToMITF,Num_of_NR3C1ToMITF,Act_of_NR3C1ToMITF,Trd_of_SMAD3ToMITF,Num_of_SMAD3ToMITF,Inh_of_SMAD3ToMITF,Trd_of_KLF4ToMITF,Num_of_KLF4ToMITF,Inh_of_KLF4ToMITF,Trd_of_MITFToMITF,Num_of_MITFToMITF,Act_of_MITFToMITF,Trd_of_SMAD4ToMITF,Num_of_SMAD4ToMITF,Act_of_SMAD4ToMITF,Trd_of_NR3C1ToSMAD4,Num_of_NR3C1ToSMAD4,Inh_of_NR3C1ToSMAD4,Trd_of_MAFBToMAFB,Num_of_MAFBToMAFB,Act_of_MAFBToMAFB,Trd_of_NR3C1ToMAFB,Num_of_NR3C1ToMAFB,Act_of_NR3C1ToMAFB,Trd_of_AHRToNR3C1,Num_of_AHRToNR3C1,Act_of_AHRToNR3C1,Trd_of_JUNToNR3C1,Num_of_JUNToNR3C1,Act_of_JUNToNR3C1,Trd_of_SMAD3ToNR3C1,Num_of_SMAD3ToNR3C1,Act_of_SMAD3ToNR3C1,Trd_of_NFICToNR3C1,Num_of_NFICToNR3C1,Act_of_NFICToNR3C1,Trd_of_FOSToNR3C1,Num_of_FOSToNR3C1,Inh_of_FOSToNR3C1,Trd_of_NR3C1ToNR2F1,Num_of_NR3C1ToNR2F1,Act_of_NR3C1ToNR2F1,Trd_of_KLF4ToNR2F1,Num_of_KLF4ToNR2F1,Act_of_KLF4ToNR2F1,Trd_of_NFICToNR2F1,Num_of_NFICToNR2F1,Act_of_NFICToNR2F1,Trd_of_FOSToNR2F1,Num_of_FOSToNR2F1,Inh_of_FOSToNR2F1,Trd_of_STAT5AToSTAT5A,Num_of_STAT5AToSTAT5A,Act_of_STAT5AToSTAT5A,Trd_of_MITFToSTAT5A,Num_of_MITFToSTAT5A,Act_of_MITFToSTAT5A,Trd_of_SMAD3ToTBX3,Num_of_SMAD3ToTBX3,Act_of_SMAD3ToTBX3,Trd_of_TBX3ToTBX3,Num_of_TBX3ToTBX3,Act_of_TBX3ToTBX3,Trd_of_KLF4ToTBX3,Num_of_KLF4ToTBX3,Act_of_KLF4ToTBX3,Trd_of_NFICToTBX3,Num_of_NFICToTBX3,Act_of_NFICToTBX3,Trd_of_JUNToTFE3,Num_of_JUNToTFE3,Act_of_JUNToTFE3,Trd_of_TFE3ToTFE3,Num_of_TFE3ToTFE3,Inh_of_TFE3ToTFE3,Trd_of_NFICToTFE3,Num_of_NFICToTFE3,Act_of_NFICToTFE3,Trd_of_MITFToTFE3,Num_of_MITFToTFE3,Inh_of_MITFToTFE3,Trd_of_FOSToTFE3,Num_of_FOSToTFE3,Inh_of_FOSToTFE3,Trd_of_NR3C1ToETV5,Num_of_NR3C1ToETV5,Inh_of_NR3C1ToETV5,Trd_of_ETV5ToETV5,Num_of_ETV5ToETV5,Act_of_ETV5ToETV5,Trd_of_MITFToETV5,Num_of_MITFToETV5,Act_of_MITFToETV5,Trd_of_NR2F1ToTFAP2A,Num_of_NR2F1ToTFAP2A,Act_of_NR2F1ToTFAP2A,Trd_of_MITFToTFAP2A,Num_of_MITFToTFAP2A,Act_of_MITFToTFAP2A
Fig. 2,5,23.112979,9.654333,7253.880924,459.534447,96.099508,32.081194,733.649365,2482.918019,5.162982,70.58254,653.683905,86.910793,55.354168,12.05651,79.605907,14.148107,18.426871,0.329557,0.468497,0.815657,0.923107,0.714848,0.322225,0.461359,0.428288,0.792288,0.401013,0.507064,0.241162,0.362973,0.782632,0.183906,0.719181,0.58877,2.133727,2,0.019084,8.133798,3,54.336,1.349009,3,0.010953,1.929149,3,51.476809,1.243209,2,0.018741,0.117718,6,0.010943,5.516051,6,0.013497,6.434074,1,80.476478,13.178884,1,0.011622,2.818469,1,29.541744,3.15404,3,95.414243,3.550088,3,0.014806,0.203652,2,24.574981,1.198056,2,89.82618,4.198639,3,52.771601,6.945941,4,56.363106,2.128479,6,16.358117,2.140627,5,0.010392,1.183075,5,5.652657,5.860183,2,84.909627,4.101789,4,83.822448,2.143321,5,80.072305,0.87433,2,0.018993,50.263971,5,66.785611,0.092688,6,62.935813,1.762664,6,10.343975,6.381406,2,20.260324,11.53384,2,7.868105,1.986336,2,0.015092,2.608347,6,0.041313,4.230326,2,0.018246,6.76033,1,19.642187,1.955395,4,0.023939,1.453909,3,0.01814,1.348765,6,96.346183,58.7987,3,80.139707,1.679505,3,0.01497,10.861901,4,44.439948,2.426576,1,78.755737,3.648658,4,89.752737,5.91379,6,25.108857,1.006032,3,61.848318,9.444904,3,26.518918,1.783399,5,0.015942,1.662676,2,77.402536,0.435624,2,85.596966,18.151151,5,51.743215,3.781507,3,0.012038,13.022417,3,82.806149,2.784771,5,37.503696,6.137391,3,86.918403,0.776377,4,97.066707,2.003541,5,76.777944,15.913846,6,14.297014,3.925777,1,44.017072,1.582856,3,0.044289,12.161486,6,21.728389,1.402594,3,0.010471,0.844929,6,0.010521,3.848146,2,0.024574,6.063578,2,39.151313,0.381865,4,6.626314,1.831426,4,76.612775,0.898082,1,86.577322
Fig. S2,5,53.114727,60.557497,1520.79598,150.968356,57.621238,550.288225,824.208503,4225.9295,35.906536,42.380774,395.798237,14.927541,54.112252,12.933943,917.406397,68.9658,3.319977,0.592574,0.455873,0.632558,0.715492,0.254681,0.444205,0.658045,0.684813,0.367858,0.224468,0.568388,0.963458,0.284087,0.464659,0.218203,0.163683,0.375489,1.108541,3,0.030646,14.038981,2,87.806734,1.026909,5,0.015694,6.441197,4,31.967961,0.82941,3,0.014508,0.267805,1,0.011773,1.171801,3,0.010613,0.681481,2,36.471307,15.099898,6,0.012585,3.132168,3,91.821117,52.054326,3,73.756596,1.019154,2,0.010652,1.142998,1,2.358997,3.401803,6,52.989149,2.984783,4,25.382008,4.982313,1,82.234838,0.66974,2,55.104405,2.878489,3,0.020787,1.714493,5,57.070078,0.471045,5,88.550773,0.360294,2,5.16092,0.389289,1,71.662687,0.914064,4,0.631166,20.057389,6,40.810217,3.6218,4,36.872058,1.527012,6,75.930074,4.141951,6,95.164234,12.060794,2,10.131979,0.140868,4,0.010223,0.937475,2,0.017249,0.956583,1,0.013488,4.871298,4,93.102631,1.981619,3,0.071129,0.261795,4,0.071171,1.020833,3,90.951831,51.348654,4,90.007907,6.691939,3,0.021708,15.92982,6,4.395501,5.375382,5,62.170807,0.643483,6,2.923995,3.871965,6,26.658929,6.570848,6,53.946338,16.999044,3,17.718344,0.484853,2,0.021379,2.532156,2,33.107321,0.860967,2,32.979637,0.339039,6,18.480071,3.877248,2,0.016927,9.066887,1,34.824942,2.668613,5,4.1751,6.628187,2,95.287852,0.520116,4,24.337151,1.309593,2,83.942916,7.126045,4,72.934334,4.025666,6,96.089832,0.853068,3,0.018893,0.475276,3,3.067627,1.739185,6,0.015332,0.070166,1,0.012958,2.608867,5,0.011136,2.39421,1,42.420669,0.202657,1,34.859011,1.771173,6,8.537615,1.615214,3,75.906524
